name;price;info;link;Код товара;Комплектация;Питание;Принцип действия;Артикул;Срок поставки;Длина датчика, мм;Чувствительность;Корпус;Аналоговый выход по току, мА
Емкостной датчик Balluff BCS D30T401-POC15C-EP02;Уточнить цену;"Артикул; BCS D30T401-POC15C-EP02; Код товара; BCS003C; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d30t401_poc15c_ep02/;BCS003C;;;;BCS D30T401-POC15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G06T4D2-POM15C-S49G;Уточнить цену;"Артикул; BCS G06T4D2-POM15C-S49G; Код товара; BCS001T; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g06t4d2_pom15c_s49g/;BCS001T;;;;BCS G06T4D2-POM15C-S49G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G06T4D2-PSM15C-S49G;Уточнить цену;"Артикул; BCS G06T4D2-PSM15C-S49G; Код товара; BCS001R; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g06t4d2_psm15c_s49g/;BCS001R;;;;BCS G06T4D2-PSM15C-S49G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G06T4E1-POM15C-EP02;Уточнить цену;"Артикул; BCS G06T4E1-POM15C-EP02; Код товара; BCS001M; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g06t4e1_pom15c_ep02/;BCS001M;;;;BCS G06T4E1-POM15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G06T4E1-PSM15C-EP02;Уточнить цену;"Артикул; BCS G06T4E1-PSM15C-EP02; Код товара; BCS001L; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g06t4e1_psm15c_ep02/;BCS001L;;;;BCS G06T4E1-PSM15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G34OOI1-PSC15D-EP02;Уточнить цену;"Артикул; BCS G34OOI1-PSC15D-EP02; Код товара; BCS00UN; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g34ooi1_psc15d_ep02/;BCS00UN;;;;BCS G34OOI1-PSC15D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M08T4E1-PSM15C-EP02;Уточнить цену;"Артикул; BCS M08T4E1-PSM15C-EP02; Код товара; BCS0026; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m08t4e1_psm15c_ep02/;BCS0026;;;;BCS M08T4E1-PSM15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M08T4E2-PSM15C-S49G;Уточнить цену;"Артикул; BCS M08T4E2-PSM15C-S49G; Код товара; BCS002A; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m08t4e2_psm15c_s49g/;BCS002A;;;;BCS M08T4E2-PSM15C-S49G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12B4G2-NSC40D-S04K;Уточнить цену;"Артикул; BCS M12B4G2-NSC40D-S04K; Код товара; BCS00P2; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12b4g2_nsc40d_s04k/;BCS00P2;;;;BCS M12B4G2-NSC40D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBG2-PSC40D-S04K;Уточнить цену;"Артикул; BCS M12BBG2-PSC40D-S04K; Код товара; BCS00PJ; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbg2_psc40d_s04k/;BCS00PJ;;;;BCS M12BBG2-PSC40D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12T4G1-PSM40C-EP02;Уточнить цену;"Артикул; BCS M12T4G1-PSM40C-EP02; Код товара; BCS002Z; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12t4g1_psm40c_ep02/;BCS002Z;;;;BCS M12T4G1-PSM40C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12TTG1-PSM40C-ET02;Уточнить цену;"Артикул; BCS M12TTG1-PSM40C-ET02; Код товара; BCS00AU; Срок поставки; 4-6 недель; Длина датчика, мм; 50";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12ttg1_psm40c_et02/;BCS00AU;;;;BCS M12TTG1-PSM40C-ET02;4-6 недель;50;;;
Емкостной датчик Balluff BCS M18B4I3-PSC80D-S04K;Уточнить цену;"Артикул; BCS M18B4I3-PSC80D-S04K; Код товара; BCS00MF; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18b4i3_psc80d_s04k/;BCS00MF;;;;BCS M18B4I3-PSC80D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18BBI3-POC80D-S04K;Уточнить цену;"Артикул; BCS M18BBI3-POC80D-S04K; Код товара; BCS00MH; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18bbi3_poc80d_s04k/;BCS00MH;;;;BCS M18BBI3-POC80D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18BBN1-NSC80D-EP02;Уточнить цену;"Артикул; BCS M18BBN1-NSC80D-EP02; Код товара; BCS00M2; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18bbn1_nsc80d_ep02/;BCS00M2;;;;BCS M18BBN1-NSC80D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18BBN1-POC80D-EP02;Уточнить цену;"Артикул; BCS M18BBN1-POC80D-EP02; Код товара; BCS00M1; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18bbn1_poc80d_ep02/;BCS00M1;;;;BCS M18BBN1-POC80D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18BBN1-PSC80D-EP02;Уточнить цену;"Артикул; BCS M18BBN1-PSC80D-EP02; Код товара; BCS00NZ; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18bbn1_psc80d_ep02/;BCS00NZ;;;;BCS M18BBN1-PSC80D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30BBI1-NSC15D-EP02;Уточнить цену;"Артикул; BCS M30BBI1-NSC15D-EP02; Код товара; BCS00NP; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30bbi1_nsc15d_ep02/;BCS00NP;;;;BCS M30BBI1-NSC15D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30EM2-PSC20C-S04K;Уточнить цену;"Артикул; BCS M30EM2-PSC20C-S04K; Код товара; BCS00HH; Срок поставки; 4-6 недель; Длина датчика, мм; 87";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30em2_psc20c_s04k/;BCS00HH;;;;BCS M30EM2-PSC20C-S04K;4-6 недель;87;;;
Емкостной датчик Balluff BCS M08T4E2-NSM15C-S49G;Уточнить цену;"Артикул; BCS M08T4E2-NSM15C-S49G; Код товара; BCS002E; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m08t4e2_nsm15c_s49g/;BCS002E;;;;BCS M08T4E2-NSM15C-S49G;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS D22V4M1-NSC10C-EV02;Уточнить цену;"Артикул; BCS D22V4M1-NSC10C-EV02; Код товара; BCS0035; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d22v4m1_nsc10c_ev02/;BCS0035;;;;BCS D22V4M1-NSC10C-EV02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G34OOI1-NOC15D-EP02;Уточнить цену;"Артикул; BCS G34OOI1-NOC15D-EP02; Код товара; BCS00UP; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g34ooi1_noc15d_ep02/;BCS00UP;;;;BCS G34OOI1-NOC15D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G34OOI1-POC15D-EP02;Уточнить цену;"Артикул; BCS G34OOI1-POC15D-EP02; Код товара; BCS00UF; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g34ooi1_poc15d_ep02/;BCS00UF;;;;BCS G34OOI1-POC15D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G34OOI2-NSC15D-S04K;Уточнить цену;"Артикул; BCS G34OOI2-NSC15D-S04K; Код товара; BCS00UL; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g34ooi2_nsc15d_s04k/;BCS00UL;;;;BCS G34OOI2-NSC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12B4I1-POC40D-EP02;Уточнить цену;"Артикул; BCS M12B4I1-POC40D-EP02; Код товара; BCS00P8; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12b4i1_poc40d_ep02/;BCS00P8;;;;BCS M12B4I1-POC40D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBI1-PSC40D-EP00,35-S04G;Уточнить цену;"Артикул; BCS M12BBI1-PSC40D-EP00,35-S04G; Код товара; BCS00TL; Срок поставки; 4-6 недель; Длина датчика, мм; 61";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbi1_psc40d_ep00_35_s04g/;BCS00TL;;;;BCS M12BBI1-PSC40D-EP00,35-S04G;4-6 недель;61;;;
Емкостной датчик Balluff BCS M18B4I3-NOC80D-S04K;Уточнить цену;"Артикул; BCS M18B4I3-NOC80D-S04K; Код товара; BCS00M6; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18b4i3_noc80d_s04k/;BCS00M6;;;;BCS M18B4I3-NOC80D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18B4I3-NSC80D-S04K;Уточнить цену;"Артикул; BCS M18B4I3-NSC80D-S04K; Код товара; BCS00M5; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18b4i3_nsc80d_s04k/;BCS00M5;;;;BCS M18B4I3-NSC80D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18B4N1-NSC80D-EP02;Уточнить цену;"Артикул; BCS M18B4N1-NSC80D-EP02; Код товара; BCS00LN; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18b4n1_nsc80d_ep02/;BCS00LN;;;;BCS M18B4N1-NSC80D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M18BBI3-NOC80D-S04K;Уточнить цену;"Артикул; BCS M18BBI3-NOC80D-S04K; Код товара; BCS00MK; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m18bbi3_noc80d_s04k/;BCS00MK;;;;BCS M18BBI3-NOC80D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30B4I2-NOC15D-S04K;Уточнить цену;"Артикул; BCS M30B4I2-NOC15D-S04K; Код товара; BCS00MW; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30b4i2_noc15d_s04k/;BCS00MW;;;;BCS M30B4I2-NOC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30B4I2-NSC15D-S04K;Уточнить цену;"Артикул; BCS M30B4I2-NSC15D-S04K; Код товара; BCS00MU; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30b4i2_nsc15d_s04k/;BCS00MU;;;;BCS M30B4I2-NSC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30B4I2-POC15D-S04K;Уточнить цену;"Артикул; BCS M30B4I2-POC15D-S04K; Код товара; BCS00MT; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30b4i2_poc15d_s04k/;BCS00MT;;;;BCS M30B4I2-POC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M30BBI2-NOC15D-S04K;Уточнить цену;"Артикул; BCS M30BBI2-NOC15D-S04K; Код товара; BCS00NF; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m30bbi2_noc15d_s04k/;BCS00NF;;;;BCS M30BBI2-NOC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS D22V4M1-POC10C-EV02;Уточнить цену;"Артикул; BCS D22V4M1-POC10C-EV02; Код товара; BCS0034; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d22v4m1_poc10c_ev02/;BCS0034;;;;BCS D22V4M1-POC10C-EV02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS D30T401-NOC15C-EP02;Уточнить цену;"Артикул; BCS D30T401-NOC15C-EP02; Код товара; BCS003F; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_d30t401_noc15c_ep02/;BCS003F;;;;BCS D30T401-NOC15C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G10T4H-NOM40C-EP02;Уточнить цену;"Артикул; BCS G10T4H-NOM40C-EP02; Код товара; BCS002Y; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g10t4h_nom40c_ep02/;BCS002Y;;;;BCS G10T4H-NOM40C-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS G34OOI2-POC15D-S04K;Уточнить цену;"Артикул; BCS G34OOI2-POC15D-S04K; Код товара; BCS00UK; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_g34ooi2_poc15d_s04k/;BCS00UK;;;;BCS G34OOI2-POC15D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12B4G2-NOC40D-S04K;Уточнить цену;"Артикул; BCS M12B4G2-NOC40D-S04K; Код товара; BCS00P3; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12b4g2_noc40d_s04k/;BCS00P3;;;;BCS M12B4G2-NOC40D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBG2-NSC40D-S04K;Уточнить цену;"Артикул; BCS M12BBG2-NSC40D-S04K; Код товара; BCS00PL; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbg2_nsc40d_s04k/;BCS00PL;;;;BCS M12BBG2-NSC40D-S04K;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBI1-NOC40D-EP02;Уточнить цену;"Артикул; BCS M12BBI1-NOC40D-EP02; Код товара; BCS00PZ; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbi1_noc40d_ep02/;BCS00PZ;;;;BCS M12BBI1-NOC40D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBI1-NSC40D-EP03;Уточнить цену;"Артикул; BCS M12BBI1-NSC40D-EP03; Код товара; BCS00W8; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbi1_nsc40d_ep03/;BCS00W8;;;;BCS M12BBI1-NSC40D-EP03;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBI1-POC40D-EP02;Уточнить цену;"Артикул; BCS M12BBI1-POC40D-EP02; Код товара; BCS00PW; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbi1_poc40d_ep02/;BCS00PW;;;;BCS M12BBI1-POC40D-EP02;4-6 недель;;дальность срабатывания регулируется;;
Емкостной датчик Balluff BCS M12BBI1-PSC40D-EP03;Уточнить цену;"Артикул; BCS M12BBI1-PSC40D-EP03; Код товара; BCS00W6; Срок поставки; 4-6 недель; Чувствительность; дальность срабатывания регулируется";https://balluff-rus.ru/catalog/emkostnye_datchiki/emkostnoy_datchik_balluff_bcs_m12bbi1_psc40d_ep03/;BCS00W6;;;;BCS M12BBI1-PSC40D-EP03;4-6 недель;;дальность срабатывания регулируется;;
