name;price;info;link;Код товара;Комплектация;Питание;Температура эксплуатации;Артикул;Срок поставки;Аналоговый выход по напряжению, В;Аналоговый выход по току, мА
Индуктивный датчик расстояния Balluff BAW M12MI-UAC20B-S04G;Уточнить цену;"Артикул; BAW M12MI-UAC20B-S04G; Код товара; BAW001P; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mi_uac20b_s04g/;BAW001P;;;;BAW M12MI-UAC20B-S04G;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M18ME-ICC50B-S04G;Уточнить цену;"Артикул; BAW M18ME-ICC50B-S04G; Код товара; BAW001U; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_icc50b_s04g/;BAW001U;;;;BAW M18ME-ICC50B-S04G;4-6 недель;;4...20
Индуктивный датчик расстояния Balluff BAW M18ME-UAC48B-BP01,5-GS04-003;Уточнить цену;"Артикул; BAW M18ME-UAC48B-BP01,5-GS04-003; Код товара; BAW003T; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac48b_bp01_5_gs04_003/;BAW003T;;;;BAW M18ME-UAC48B-BP01,5-GS04-003;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M18ME-UAC50B-BP00,2-GS49;Уточнить цену;"Артикул; BAW M18ME-UAC50B-BP00,2-GS49; Код товара; BAW0020; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac50b_bp00_2_gs49/;BAW0020;;;;BAW M18ME-UAC50B-BP00,2-GS49;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M18ME-UAC50B-BP03;Уточнить цену;"Артикул; BAW M18ME-UAC50B-BP03; Код товара; BAW0022; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac50b_bp03/;BAW0022;;;;BAW M18ME-UAC50B-BP03;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M18ME-UAC50B-S04G;Уточнить цену;"Артикул; BAW M18ME-UAC50B-S04G; Код товара; BAW0025; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac50b_s04g/;BAW0025;;;;BAW M18ME-UAC50B-S04G;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M18ME-UAE50B-S04G-K;Уточнить цену;"Артикул; BAW M18ME-UAE50B-S04G-K; Код товара; BAW0026; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uae50b_s04g_k/;BAW0026;;;;BAW M18ME-UAE50B-S04G-K;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M18ME-UDC40B-BP00,1-GS49;Уточнить цену;"Артикул; BAW M18ME-UDC40B-BP00,1-GS49; Код товара; BAW0027; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 1...9";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_udc40b_bp00_1_gs49/;BAW0027;;;;BAW M18ME-UDC40B-BP00,1-GS49;4-6 недель;1...9;
Индуктивный датчик расстояния Balluff BAW M18MI-ICC50B-S04G;Уточнить цену;"Артикул; BAW M18MI-ICC50B-S04G; Код товара; BAW002J; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18mi_icc50b_s04g/;BAW002J;;;;BAW M18MI-ICC50B-S04G;4-6 недель;;4...20
Индуктивный датчик расстояния Balluff BAW M18MI-UAC50B-S04G;Уточнить цену;"Артикул; BAW M18MI-UAC50B-S04G; Код товара; BAW002K; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18mi_uac50b_s04g/;BAW002K;;;;BAW M18MI-UAC50B-S04G;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M30ME-UAC10B-S04G;Уточнить цену;"Артикул; BAW M30ME-UAC10B-S04G; Код товара; BAW002W; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m30me_uac10b_s04g/;BAW002W;;;;BAW M30ME-UAC10B-S04G;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW MKK-050.19-S4;Уточнить цену;"Артикул; BAW MKK-050.19-S4; Код товара; BAW003K; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_mkk_050_19_s4/;BAW003K;;;;BAW MKK-050.19-S4;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW MKV-020.19-S4;Уточнить цену;"Артикул; BAW MKV-020.19-S4; Код товара; BAW003L; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 10...0";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_mkv_020_19_s4/;BAW003L;;;;BAW MKV-020.19-S4;4-6 недель;10...0;
Индуктивный датчик расстояния Balluff BAW MKZ-471.19-S4;Уточнить цену;"Артикул; BAW MKZ-471.19-S4; Код товара; BAW003M; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_mkz_471_19_s4/;BAW003M;;;;BAW MKZ-471.19-S4;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW R03KC-UAE40B-BP00,3-GS49;Уточнить цену;"Артикул; BAW R03KC-UAE40B-BP00,3-GS49; Код товара; BAW0031; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_r03kc_uae40b_bp00_3_gs49/;BAW0031;;;;BAW R03KC-UAE40B-BP00,3-GS49;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW R06AC-UAF20B-S49G;Уточнить цену;"Артикул; BAW R06AC-UAF20B-S49G; Код товара; BAW0034; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_r06ac_uaf20b_s49g/;BAW0034;;;;BAW R06AC-UAF20B-S49G;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW Z08EO-UAD20B-S04G-H11;Уточнить цену;"Артикул; BAW Z08EO-UAD20B-S04G-H11; Код товара; BAW0040; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_z08eo_uad20b_s04g_h11/;BAW0040;;;;BAW Z08EO-UAD20B-S04G-H11;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M08EI-UAD15B-BP00,2-GS04;Уточнить цену;"Артикул; BAW M08EI-UAD15B-BP00,2-GS04; Код товара; BAW000N; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m08ei_uad15b_bp00_2_gs04/;BAW000N;;;;BAW M08EI-UAD15B-BP00,2-GS04;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW R03KC-UAE40B-BP03;Уточнить цену;"Артикул; BAW R03KC-UAE40B-BP03; Код товара; BAW0032; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_r03kc_uae40b_bp03/;BAW0032;;;;BAW R03KC-UAE40B-BP03;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12MF2-UAC40F-BP00,2-GS04;Уточнить цену;"Артикул; BAW M12MF2-UAC40F-BP00,2-GS04; Код товара; BAW0014; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mf2_uac40f_bp00_2_gs04/;BAW0014;;;;BAW M12MF2-UAC40F-BP00,2-GS04;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12ME-IAC35C-S04G;Уточнить цену;"Артикул; BAW M12ME-IAC35C-S04G; Код товара; BAW0054; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 0...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12me_iac35c_s04g/;BAW0054;;;;BAW M12ME-IAC35C-S04G;4-6 недель;;0...20
Индуктивный датчик расстояния Balluff BAW M12MF-IAC70G-BP02;Уточнить цену;"Артикул; BAW M12MF-IAC70G-BP02; Код товара; BAW004L; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 0...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mf_iac70g_bp02/;BAW004L;;;;BAW M12MF-IAC70G-BP02;4-6 недель;;0...20
Индуктивный датчик расстояния Balluff BAW M12MG2-UAC20B-BP05;Уточнить цену;"Артикул; BAW M12MG2-UAC20B-BP05; Код товара; BAW001M; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mg2_uac20b_bp05/;BAW001M;;;;BAW M12MG2-UAC20B-BP05;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12MN-ICC35C-BP00,2-GS04;Уточнить цену;"Артикул; BAW M12MN-ICC35C-BP00,2-GS04; Код товара; BAW004R; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mn_icc35c_bp00_2_gs04/;BAW004R;;;;BAW M12MN-ICC35C-BP00,2-GS04;4-6 недель;;4...20
Индуктивный датчик расстояния Balluff BAW M12MN-ICC35C-BP02;Уточнить цену;"Артикул; BAW M12MN-ICC35C-BP02; Код товара; BAW0051; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mn_icc35c_bp02/;BAW0051;;;;BAW M12MN-ICC35C-BP02;4-6 недель;;4...20
Индуктивный датчик расстояния Balluff BAW M18ME-UDC40B-BP01;Уточнить цену;"Артикул; BAW M18ME-UDC40B-BP01; Код товара; BAW0028; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 1...9";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_udc40b_bp01/;BAW0028;;;;BAW M18ME-UDC40B-BP01;4-6 недель;1...9;
Индуктивный датчик расстояния Balluff BAW M08EH-UAD15B-S04G;Уточнить цену;"Артикул; BAW M08EH-UAD15B-S04G; Код товара; BAW003R; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m08eh_uad15b_s04g/;BAW003R;;;;BAW M08EH-UAD15B-S04G;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12MG2-UAC20B-BV10-001;Уточнить цену;"Артикул; BAW M12MG2-UAC20B-BV10-001; Код товара; BAW001N; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mg2_uac20b_bv10_001/;BAW001N;;;;BAW M12MG2-UAC20B-BV10-001;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12MI-UAC35C-S04G;Уточнить цену;"Артикул; BAW M12MI-UAC35C-S04G; Код товара; BAW004C; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mi_uac35c_s04g/;BAW004C;;;;BAW M12MI-UAC35C-S04G;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12MM-UAC70G-BP00,2-GS04;Уточнить цену;"Артикул; BAW M12MM-UAC70G-BP00,2-GS04; Код товара; BAW004E; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mm_uac70g_bp00_2_gs04/;BAW004E;;;;BAW M12MM-UAC70G-BP00,2-GS04;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M18ME-ICC50B-BP03;Уточнить цену;"Артикул; BAW M18ME-ICC50B-BP03; Код товара; BAW001T; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_icc50b_bp03/;BAW001T;;;;BAW M18ME-ICC50B-BP03;4-6 недель;;4...20
Индуктивный датчик расстояния Balluff BAW M18ME-UAC50B-BP01,5-GS04-003;Уточнить цену;"Артикул; BAW M18ME-UAC50B-BP01,5-GS04-003; Код товара; BAW004W; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac50b_bp01_5_gs04_003/;BAW004W;;;;BAW M18ME-UAC50B-BP01,5-GS04-003;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW G06EE-UAF20B-EP01,4-GS49;Уточнить цену;"Артикул; BAW G06EE-UAF20B-EP01,4-GS49; Код товара; BAW005L; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_g06ee_uaf20b_ep01_4_gs49/;BAW005L;;;;BAW G06EE-UAF20B-EP01,4-GS49;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M12ME-ICC70G-S04G;Уточнить цену;"Артикул; BAW M12ME-ICC70G-S04G; Код товара; BAW0062; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12me_icc70g_s04g/;BAW0062;;;;BAW M12ME-ICC70G-S04G;4-6 недель;;4...20
Индуктивный датчик расстояния Balluff BAW M12MI-IAC35C-S04G;Уточнить цену;"Артикул; BAW M12MI-IAC35C-S04G; Код товара; BAW004P; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 0...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mi_iac35c_s04g/;BAW004P;;;;BAW M12MI-IAC35C-S04G;4-6 недель;;0...20
Индуктивный датчик расстояния Balluff BAW M12MN-IAC35C-BP00,2-GS04;Уточнить цену;"Артикул; BAW M12MN-IAC35C-BP00,2-GS04; Код товара; BAW004F; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 0...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m12mn_iac35c_bp00_2_gs04/;BAW004F;;;;BAW M12MN-IAC35C-BP00,2-GS04;4-6 недель;;0...20
Индуктивный датчик расстояния Balluff BAW M18ME-ICC50B-BP00,2-GS04;Уточнить цену;"Артикул; BAW M18ME-ICC50B-BP00,2-GS04; Код товара; BAW003U; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_icc50b_bp00_2_gs04/;BAW003U;;;;BAW M18ME-ICC50B-BP00,2-GS04;4-6 недель;;4...20
Индуктивный датчик расстояния Balluff BAW M18ME-UAC50B-BP04-GS04;Уточнить цену;"Артикул; BAW M18ME-UAC50B-BP04-GS04; Код товара; BAW0059; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m18me_uac50b_bp04_gs04/;BAW0059;;;;BAW M18ME-UAC50B-BP04-GS04;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW M30EE-ICD10B-S04G-L01;Уточнить цену;"Артикул; BAW M30EE-ICD10B-S04G-L01; Код товара; BAW005Y; Срок поставки; 4-6 недель; Аналоговый выход по току, мА; 4...20";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_m30ee_icd10b_s04g_l01/;BAW005Y;;;;BAW M30EE-ICD10B-S04G-L01;4-6 недель;;4...20
Индуктивный датчик расстояния Balluff BAW R03KC-UAA40B-BP03-505;Уточнить цену;"Артикул; BAW R03KC-UAA40B-BP03-505; Код товара; BAW005Z; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_r03kc_uaa40b_bp03_505/;BAW005Z;;;;BAW R03KC-UAA40B-BP03-505;4-6 недель;0...10;
Индуктивный датчик расстояния Balluff BAW R03KC-UAF40B-BP00,3-GS49-101;Уточнить цену;"Артикул; BAW R03KC-UAF40B-BP00,3-GS49-101; Код товара; BAW0046; Срок поставки; 4-6 недель; Аналоговый выход по напряжению, В; 0...10";https://balluff-rus.ru/catalog/induktivnye_datchiki_rasstoyaniya/induktivnyy_datchik_rasstoyaniya_balluff_baw_r03kc_uaf40b_bp00_3_gs49_101/;BAW0046;;;;BAW R03KC-UAF40B-BP00,3-GS49-101;4-6 недель;0...10;
